match_name,retailer_name,retailer_url,price_sgd,currency_confirmed,notes
2019 The Paring - Red Wine - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/the+paring+red+santa+ynez+valley+barbara+county+central+coast+california+usa,35.97,true,resolved_via=brave_wine_searcher usd=28.0 validation=passed
2023 Hudelot - Baillet - Bourgogne Hautes Cotes de Nuits Blanc - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/dom+hudelot+baillets+blanc+bourgogne+haut+cote+de+nuit+burgundy+france,46.25,true,resolved_via=brave_wine_searcher usd=36.0 validation=passed
2022 Hudelot - Baillet - Bourgogne Hautes Cotes de Nuits Blanc - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/dom+hudelot+baillets+blanc+bourgogne+haut+cote+de+nuit+burgundy+france,46.25,true,resolved_via=brave_wine_searcher usd=36.0 validation=passed
2020 Markus Molitor - Brauneberger Mandelgraben Pinot Noir Trocken One Star - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/markus+molitor+kloster+garden+pinot+noir+trocken+brauneberger+mosel+germany,123.32,true,resolved_via=brave_wine_searcher usd=96.0 validation=passed
2021 G D Vajra - Barolo Albe - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/g+d+vajra+albet+docg+barolo+piemonte+italy,53.95,true,resolved_via=brave_wine_searcher usd=42.0 validation=passed
NV Domaine Mumm - Brut Cordon Rouge - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/g+h+mumm+cordon+rouge+brut+champagne+france,66.8,true,resolved_via=brave_wine_searcher usd=52.0 validation=passed
NV Adrien Renoir - Grand Cru Le Terroir - White - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/adrien+re+noir+le+terroir+verzy+grand+cru+extra+brut+champagne+france,100.2,true,resolved_via=brave_wine_searcher_retry usd=78.0 validation=passed_retry
2018 Louise Brison - Rosé de la Côte des Bar - Rose - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/louise+brisson+a+l+aube+de+la+cote+bar+brut+nature+millesime+champagne+zero+france/2002,84.78,true,resolved_via=brave_wine_searcher_retry usd=66.0 validation=passed_retry
2017 Louise Brison - Rosé de la Côte des Bar - Rose - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/louise+brisson+a+l+aube+de+la+cote+bar+brut+nature+millesime+champagne+zero+france/2002,84.78,true,resolved_via=brave_wine_searcher_retry usd=66.0 validation=passed_retry
2020 Frescobaldi - Tenuta Perano Rialzi - Red - 750 ml - Standard Bottle,Wine-Searcher avg,https://www.wine-searcher.com/find/marchesi+frescobaldi+tenute+peirano+rsrv+docg+chianti+cls+tuscany+italy,89.92,true,resolved_via=brave_wine_searcher usd=70.0 validation=passed
